#Contig	PrPl	Flow	Read_depth	Length
# 1	0.96	0.0	7.02	1500
# 2	0.97	0.0	1.76	1500
# 4	0.96	0.0	3.49	1500

#Link	Capacity
# (('1', 'h'), ('2', 't'))	1.76
# ('S', ('2', 't'))	1.76
# (('2', 't'), 'T')	1.76
# (('4', 'h'), ('1', 't'))	3.49

